Metric,Model 1 Name,Model 2 Name,Model 1 Performance,Model 2 Performance,Difference,P-value,Num Training Samples
auprc,CLMBR,GBM,"0.097 [0.037, 0.184]","0.069 [0.022, 0.146]","0.029 [0.013, 0.05]",0.0,8
auprc_c,CLMBR,GBM,"0.638 [0.602, 0.684]","0.551 [0.532, 0.57]","0.086 [0.065, 0.115]",0.0,8
auroc,CLMBR,GBM,"0.651 [0.611, 0.7]","0.561 [0.538, 0.583]","0.089 [0.07, 0.121]",0.0,8
ece,CLMBR,GBM,"0.015 [0.007, 0.028]","0.055 [0.042, 0.07]","-0.04 [-0.045, -0.034]",0.0,8
auprc,CLMBR_DAPT,GBM,"0.228 [0.094, 0.369]","0.231 [0.095, 0.387]","-0.002 [-0.044, 0.025]",0.9334,1024
auprc_c,CLMBR_DAPT,GBM,"0.788 [0.737, 0.853]","0.763 [0.702, 0.837]","0.027 [0.015, 0.037]",0.0,1024
auroc,CLMBR_DAPT,GBM,"0.807 [0.749, 0.869]","0.775 [0.706, 0.842]","0.033 [0.022, 0.046]",0.0,1024
ece,CLMBR_DAPT,GBM,"0.014 [0.009, 0.018]","0.017 [0.009, 0.027]","-0.003 [-0.009, 0.001]",0.193,1024
auprc,CLMBR,CLMBR_MIMIC,"0.093 [0.032, 0.185]","0.102 [0.037, 0.196]","-0.008 [-0.017, -0.003]",0.0,4
auprc_c,CLMBR,CLMBR_MIMIC,"0.612 [0.581, 0.652]","0.641 [0.604, 0.685]","-0.028 [-0.039, -0.018]",0.0,4
auroc,CLMBR,CLMBR_MIMIC,"0.621 [0.585, 0.664]","0.65 [0.609, 0.699]","-0.028 [-0.041, -0.016]",0.0,4
ece,CLMBR,CLMBR_MIMIC,"0.019 [0.009, 0.035]","0.018 [0.008, 0.034]","0.0 [-0.0, 0.001]",0.4124,4
auprc,CLMBR_DAPT,GBM,"0.223 [0.092, 0.359]","0.217 [0.09, 0.364]","0.007 [-0.028, 0.032]",0.6454,512
auprc_c,CLMBR_DAPT,GBM,"0.785 [0.733, 0.85]","0.75 [0.69, 0.828]","0.034 [0.02, 0.046]",0.0,512
auroc,CLMBR_DAPT,GBM,"0.803 [0.745, 0.866]","0.766 [0.698, 0.835]","0.038 [0.026, 0.05]",0.0,512
